URL,Title,View Count
http://www.bilibili.com/video/BV1S1421r7o5/,不吃嘴笨的亏，学会表达，展现自己，能干还要能说，口才一开，前程即来，练好口才 不怕上台,9507
http://www.bilibili.com/video/BV1EWeYeKESu/,说话的艺术，看了不下十遍，太经典了,645
http://www.bilibili.com/video/BV1C24y1t7jG/,精读好书《好好说话》｜新鲜有趣的话术精进技巧（奇葩说团队出品）【完结】,4.9万
http://www.bilibili.com/video/BV1sS4y1d78N/,人生赢家必修的12堂说话课【完结】,1.5万
http://www.bilibili.com/video/BV1cZ4y127va/,不玩梗怎么培养幽默感？7个原则让你的讲话变成脱口秀！解读《如何成为讲话有趣的人》,73.9万
http://www.bilibili.com/video/BV1HW411G7Yc/,「TED/4P字幕」谈话的艺术，怎样说话人们才会听？/How to speak so that people want to listen,7.9万
http://www.bilibili.com/video/BV1rZ4y1m74P/,黄渤：说话的艺术,250.6万
http://www.bilibili.com/video/BV1ma4y1d7dJ/,多数人忽略的“拍马屁”的艺术！好好说话的必要性，人性中最深刻的本能就是对被欣赏的渴望，与别人沟通让你“如鱼得水”。“良言一句三冬暖，恶语伤人六月寒！”,3.4万
http://www.bilibili.com/video/BV1zB4y1E76a/,想和晴儿学学说话的艺术！,6.3万
http://www.bilibili.com/video/BV1Np4y1A7dE/,一个高情商的人，说话办事滴水不漏。 &quot;为人处事 &quot;处世智慧,928
http://www.bilibili.com/video/BV1Mb421J7ip/,职场上说话的艺术，表达出话中的意思且不留把柄#,372
http://www.bilibili.com/video/BV1nN4y197az/,来跟我猴哥学习说话的艺术,9.2万
http://www.bilibili.com/video/BV1Q1421U745/,职场打工族必备技能，教你如何高情商会说话,51.1万
http://www.bilibili.com/video/BV1yV4y1d7DS/,情商？职场中“沟通技巧”很重要！,1.6万
http://www.bilibili.com/video/BV1wQ4y18764/,记住3点，说话瞬间有条理。,27.6万
http://www.bilibili.com/video/BV1S8YaeEEDv/,一个高情商会说话的人，到底有多厉害,2
http://www.bilibili.com/video/BV1su4y1J7oB/,学说话 沟通的艺术！拆解高手的说话“套路”,4881
http://www.bilibili.com/video/BV1sbYxeRE2f/,嘴笨反应慢，不会接话 不会回话，情商低 说话直，记住这3个高情商说话方式,243
http://www.bilibili.com/video/BV1ZM4m127GD/,开口就能说重点,2057
http://www.bilibili.com/video/BV1mw411Q7Sk/,高情商VS低情商︱聊天的技巧2,17.0万
http://www.bilibili.com/video/BV1yU411d79Q/,权力不对等下的《沟通艺术》,4185
http://www.bilibili.com/video/BV1KAYfeQESp/,“论说话的艺术，这求人办事分分钟拿捏，有关系不用那是蠢！”,54
http://www.bilibili.com/video/BV1ur42187Qb/,撒贝宁的说话艺术，一开口就让人舒服的难以拒绝！,33.8万
http://www.bilibili.com/video/BV1sc411W75v/,高情商回话的艺术，你学会了吗？,20.7万
http://www.bilibili.com/video/BV1ay4y157m8/,第 01 堂：夸人就要夸到心坎里，培养社交中的高情商,2564
http://www.bilibili.com/video/BV1CV4y1N7D2/,【职场沟通】高情商沟通技巧，轻松洞察人心,2242
http://www.bilibili.com/video/BV1oZ4y1k7Kj/,怎么提高说话时的瞬时反应能力？,39.0万
http://www.bilibili.com/video/BV1gt411c7kB/,【情商&amp;沟通】高情商沟通法则，教你实话巧说，说到心窝里,6.2万
http://www.bilibili.com/video/BV1ur42187Qb/,撒贝宁的说话艺术，一开口就让人舒服的难以拒绝！,33.8万
http://www.bilibili.com/video/BV1sc411W75v/,高情商回话的艺术，你学会了吗？,20.7万
http://www.bilibili.com/video/BV1ay4y157m8/,第 01 堂：夸人就要夸到心坎里，培养社交中的高情商,2564
